Age,City/PIN,IncomeBracket,HouseholdSize,OrderFreq,TypicalSpend,PrimaryMotivation,DietPattern,Allergies,NutritionImportance,BasketCombineInterest,HotSyncValue,PreferredDeliveryTier,ExtraFeeExpress,EcoSaverLikelihood_GreenCoins,LowCarbonPackagingImportance,ReturnPouch,BundleDealInterest,PreferredIncentives,AccessibilityFeatures,PainPoints,AdoptionLikelihood_30d
35,Chennai,50-75k,1,<1/mo,274,Health meals,High-protein,None,4,3,4,Eco-Saver,0,1,5,No,2,"Carbon-offset badges,Targeted discounts","Color-blind palette,Voice-first ordering",Cold food,4
18,Kolkata,50-75k,1,<1/mo,164,Variety,None,None,3,2,4,Eco-Saver,0,4,3,Yes,3,"Surprise free items,Carbon-offset badges",None,None,2
18,Ahmedabad,25-50k,2,3-5/wk,136,Convenience,Vegan,None,3,2,4,Depends,0,2,4,Yes,3,"Carbon-offset badges,Surprise free items",Courier empathy rating,None,5
33,Ahmedabad,75-100k,1,3-5/wk,147,Variety,Calorie-controlled,None,3,4,5,Express Fresh,100,2,4,Yes,1,"Surprise free items,Targeted discounts",None,"Cold food,Confusing UI",5
26,Chennai,50-75k,4,1-3/mo,82,Convenience,None,None,3,3,3,Express Fresh,65,2,4,Yes,2,"Carbon-offset badges,Targeted discounts,Surprise free items","Voice-first ordering,Courier empathy rating","Sustainability concerns,Cold food,Limited healthy options",3
23,Kolkata,50-75k,5,1-3/mo,141,Variety,None,"Shellfish,Peanuts",4,3,4,Express Fresh,38,5,2,Yes,2,None of these,Courier empathy rating,Limited healthy options,4
26,Delhi,<25k,2,3-5/wk,99,Other,Vegetarian,"Shellfish,Soy",5,4,3,Eco-Saver,0,4,4,Yes,3,"Surprise free items,Carbon-offset badges","Voice-first ordering,Color-blind palette","Sustainability concerns,Late deliveries",4
34,Hyderabad,75-100k,3,1-2/wk,111,Convenience,Calorie-controlled,None,3,1,5,Express Fresh,117,4,5,Yes,3,Surprise free items,Color-blind palette,Late deliveries,3
43,Ahmedabad,75-100k,2,3-5/wk,223,Time constraints,Calorie-controlled,Gluten,1,3,5,Eco-Saver,0,5,5,No,3,"Carbon-offset badges,Targeted discounts",Courier empathy rating,"Late deliveries,High fees,Cold food",3
52,Lucknow,<25k,6,1-2/wk,127,Health meals,None,None,3,3,4,Express Fresh,40,2,3,Yes,4,Targeted discounts,None,"Sustainability concerns,High fees,Cold food",1
23,Pune,>100k,3,1-3/mo,147,Convenience,Calorie-controlled,None,3,3,4,Eco-Saver,0,2,4,No,3,None of these,Larger text/UI,High fees,3
20,Pune,25-50k,4,3-5/wk,324,Variety,Calorie-controlled,None,4,1,2,Eco-Saver,0,3,3,No,3,"Streak cashback,Surprise free items",Voice-first ordering,None,4
34,Pune,50-75k,1,1-3/mo,218,Other,High-protein,None,2,4,4,Eco-Saver,0,4,4,No,4,Surprise free items,None,"Limited healthy options,Late deliveries,Confusing UI",4
33,Delhi,50-75k,4,1-2/wk,184,Variety,None,None,4,2,4,Eco-Saver,0,4,1,Yes,3,Surprise free items,"Color-blind palette,Voice-first ordering","Late deliveries,Cold food,Sustainability concerns",2
29,Kolkata,<25k,3,<1/mo,308,Other,None,Peanuts,3,3,5,Express Fresh,48,1,3,Yes,3,"Carbon-offset badges,Targeted discounts,Surprise free items","Larger text/UI,Color-blind palette",Limited healthy options,1
18,Hyderabad,25-50k,1,1-3/mo,93,Variety,None,None,3,5,4,Eco-Saver,0,4,3,No,4,Streak cashback,None,"High fees,Confusing UI,Limited healthy options",4
29,Mumbai,50-75k,2,<1/mo,135,Convenience,Calorie-controlled,"Dairy,Shellfish",2,3,4,Eco-Saver,0,4,4,Yes,2,None of these,Color-blind palette,Limited healthy options,4
31,Lucknow,75-100k,6,1-3/mo,121,Health meals,None,"Gluten,Soy",4,4,4,Depends,0,2,4,No,3,"Carbon-offset badges,Targeted discounts","Larger text/UI,Voice-first ordering","Late deliveries,High fees",5
42,Lucknow,25-50k,5,1-2/wk,229,Convenience,High-protein,Peanuts,4,4,2,Express Fresh,79,3,5,No,4,Streak cashback,"Larger text/UI,Voice-first ordering","Late deliveries,Sustainability concerns,Cold food",4
23,Lucknow,<25k,3,1-2/wk,159,Health meals,None,None,3,2,2,Eco-Saver,0,4,3,No,5,"Targeted discounts,Carbon-offset badges,Streak cashback",Voice-first ordering,Confusing UI,3
24,Ahmedabad,<25k,1,>5/wk,143,Convenience,High-protein,None,4,2,4,Eco-Saver,0,3,3,No,5,Streak cashback,"Color-blind palette,Courier empathy rating","Limited healthy options,Cold food,Confusing UI",2
24,Jaipur,25-50k,6,<1/mo,79,Variety,Vegetarian,None,2,3,4,Depends,0,1,3,Yes,3,"Carbon-offset badges,Targeted discounts,Streak cashback",Courier empathy rating,"Cold food,Late deliveries,Confusing UI",1
39,Mumbai,25-50k,2,1-2/wk,156,Other,Vegetarian,None,3,3,4,Express Fresh,47,4,4,Yes,4,None of these,None,Sustainability concerns,2
27,Hyderabad,<25k,2,<1/mo,89,Convenience,Gluten-free,None,4,4,3,Express Fresh,54,3,4,Yes,4,None of these,"Courier empathy rating,Larger text/UI","Limited healthy options,Sustainability concerns,Confusing UI",5
18,Kolkata,75-100k,1,<1/mo,185,Variety,None,None,1,3,2,Depends,0,4,4,Yes,4,"Targeted discounts,Surprise free items,Carbon-offset badges",None,Late deliveries,2
35,Bengaluru,50-75k,3,3-5/wk,132,Convenience,Vegan,None,3,3,5,Depends,0,3,3,Yes,4,"Carbon-offset badges,Surprise free items,Streak cashback","Voice-first ordering,Courier empathy rating",None,3
34,Mumbai,<25k,1,1-2/wk,73,Convenience,None,None,4,4,3,Express Fresh,34,4,3,Yes,3,"Streak cashback,Targeted discounts","Courier empathy rating,Voice-first ordering",Limited healthy options,3
38,Chennai,<25k,2,1-2/wk,163,Time constraints,Vegan,None,2,4,3,Express Fresh,47,2,3,Yes,4,"Streak cashback,Carbon-offset badges,Surprise free items","Larger text/UI,Voice-first ordering","Limited healthy options,Confusing UI,Late deliveries",4
35,Bengaluru,50-75k,6,1-2/wk,356,Time constraints,High-protein,Peanuts,3,4,5,Eco-Saver,0,3,3,No,2,"Targeted discounts,Carbon-offset badges,Surprise free items",None,"Cold food,Limited healthy options",3
25,Bengaluru,<25k,5,<1/mo,111,Other,Vegetarian,"Soy,Shellfish",2,5,4,Eco-Saver,0,5,4,Yes,3,"Streak cashback,Carbon-offset badges","Voice-first ordering,Courier empathy rating","Limited healthy options,Late deliveries",5
30,Kolkata,25-50k,4,3-5/wk,260,Health meals,None,Soy,2,3,3,Express Fresh,60,2,5,Yes,5,None of these,Color-blind palette,"Limited healthy options,High fees",4
30,Delhi,50-75k,2,3-5/wk,164,Health meals,Calorie-controlled,Soy,2,3,5,Express Fresh,101,4,5,Yes,3,"Carbon-offset badges,Targeted discounts,Surprise free items",Color-blind palette,None,4
33,Chennai,<25k,1,1-2/wk,97,Variety,None,None,3,4,4,Eco-Saver,0,1,5,Yes,4,"Streak cashback,Targeted discounts,Surprise free items",None,"Sustainability concerns,High fees,Late deliveries",3
20,Chennai,75-100k,5,1-2/wk,208,Time constraints,None,"Peanuts,Soy",4,2,4,Eco-Saver,0,5,2,Yes,4,Streak cashback,None,None,4
27,Lucknow,25-50k,6,1-2/wk,93,Other,Calorie-controlled,None,2,5,5,Express Fresh,66,3,4,Yes,2,Targeted discounts,"Voice-first ordering,Courier empathy rating",Late deliveries,3
18,Pune,25-50k,5,1-3/mo,154,Other,Vegetarian,None,3,4,4,Express Fresh,41,2,2,No,1,"Targeted discounts,Surprise free items",Larger text/UI,Limited healthy options,3
83,Hyderabad,50-75k,3,1-2/wk,277,Convenience,Calorie-controlled,None,3,4,5,Eco-Saver,0,4,5,Yes,4,Targeted discounts,None,"Confusing UI,Cold food",5
27,Delhi,25-50k,2,1-2/wk,96,Variety,Vegetarian,None,4,2,4,Express Fresh,47,3,2,Yes,4,None of these,None,"Confusing UI,Sustainability concerns,Late deliveries",2
18,Chennai,50-75k,3,1-2/wk,87,Health meals,Vegetarian,"Shellfish,Peanuts",3,2,3,Express Fresh,49,2,4,No,3,"Carbon-offset badges,Surprise free items","Color-blind palette,Larger text/UI","Cold food,High fees,Sustainability concerns",3
18,Chennai,<25k,4,1-2/wk,192,Health meals,None,None,4,3,5,Eco-Saver,0,3,2,Yes,4,"Surprise free items,Streak cashback",None,Cold food,2
31,Bengaluru,<25k,1,1-3/mo,81,Health meals,Gluten-free,None,2,3,2,Express Fresh,59,5,3,No,4,"Surprise free items,Streak cashback",Color-blind palette,None,3
33,Hyderabad,50-75k,1,3-5/wk,342,Other,None,None,4,4,3,Express Fresh,145,2,4,No,3,"Targeted discounts,Carbon-offset badges",None,Limited healthy options,5
38,Bengaluru,<25k,5,1-3/mo,134,Other,None,None,3,2,2,Eco-Saver,0,3,3,Yes,4,"Targeted discounts,Carbon-offset badges,Surprise free items",None,Confusing UI,2
42,Kolkata,<25k,4,1-3/mo,144,Health meals,None,"Gluten,Dairy",2,2,5,Eco-Saver,0,2,3,Yes,3,Surprise free items,"Voice-first ordering,Courier empathy rating",High fees,1
20,Lucknow,75-100k,2,<1/mo,119,Variety,Calorie-controlled,Gluten,3,3,4,Eco-Saver,0,4,5,No,4,Streak cashback,Courier empathy rating,Confusing UI,2
28,Pune,>100k,4,1-2/wk,248,Other,None,Gluten,3,3,4,Express Fresh,129,4,3,Yes,3,"Targeted discounts,Surprise free items","Color-blind palette,Courier empathy rating","Late deliveries,Cold food,High fees",3
24,Chennai,25-50k,2,1-3/mo,221,Time constraints,Vegetarian,"Peanuts,Shellfish",2,5,3,Eco-Saver,0,3,4,Yes,4,None of these,Larger text/UI,"High fees,Sustainability concerns,Cold food",4
37,Kolkata,25-50k,2,<1/mo,144,Health meals,None,None,2,2,4,Express Fresh,68,3,3,No,2,"Surprise free items,Targeted discounts,Streak cashback","Courier empathy rating,Larger text/UI","Late deliveries,Sustainability concerns",1
38,Pune,>100k,3,1-3/mo,163,Time constraints,None,None,4,4,3,Depends,0,3,2,No,3,"Carbon-offset badges,Streak cashback,Targeted discounts",None,Late deliveries,4
45,Jaipur,50-75k,3,3-5/wk,205,Time constraints,None,None,4,3,4,Eco-Saver,0,4,5,Yes,4,"Surprise free items,Targeted discounts","Color-blind palette,Voice-first ordering",None,4
24,Ahmedabad,>100k,2,1-3/mo,164,Time constraints,Vegetarian,None,1,4,3,Express Fresh,100,3,2,No,1,"Carbon-offset badges,Surprise free items,Streak cashback",None,"Confusing UI,Late deliveries,Sustainability concerns",3
39,Chennai,25-50k,2,<1/mo,179,Other,Vegetarian,Peanuts,3,5,2,Express Fresh,60,2,3,Yes,5,"Streak cashback,Surprise free items",Voice-first ordering,"High fees,Confusing UI,Cold food",4
35,Jaipur,>100k,6,1-2/wk,394,Convenience,Gluten-free,Soy,5,3,2,Depends,0,3,4,No,2,"Streak cashback,Targeted discounts","Color-blind palette,Larger text/UI",Late deliveries,4
18,Pune,<25k,3,>5/wk,86,Variety,None,"Gluten,Dairy",2,4,3,Express Fresh,36,3,4,Yes,2,"Streak cashback,Surprise free items,Targeted discounts",None,"High fees,Confusing UI,Limited healthy options",5
40,Mumbai,75-100k,3,1-2/wk,170,Other,High-protein,None,3,4,3,Express Fresh,87,2,3,No,4,"Streak cashback,Targeted discounts",Larger text/UI,None,4
53,Ahmedabad,25-50k,1,1-2/wk,169,Health meals,Vegetarian,None,4,3,5,Eco-Saver,0,3,3,No,3,Streak cashback,None,"Limited healthy options,Late deliveries",3
43,Kolkata,<25k,2,3-5/wk,211,Convenience,None,None,4,4,4,Eco-Saver,0,2,3,Yes,3,"Streak cashback,Surprise free items,Carbon-offset badges",None,Limited healthy options,3
40,Kolkata,25-50k,4,1-2/wk,166,Other,Vegetarian,None,2,3,3,Depends,0,2,4,Yes,2,"Streak cashback,Carbon-offset badges,Targeted discounts","Voice-first ordering,Larger text/UI",Late deliveries,4
31,Bengaluru,50-75k,3,1-3/mo,172,Convenience,None,"Soy,Dairy",3,4,3,Express Fresh,86,4,5,Yes,3,"Streak cashback,Carbon-offset badges,Surprise free items",Color-blind palette,"Cold food,Sustainability concerns",4
30,Chennai,<25k,1,1-2/wk,174,Variety,None,None,5,3,5,Express Fresh,88,3,5,No,2,"Targeted discounts,Surprise free items","Larger text/UI,Courier empathy rating",None,5
32,Hyderabad,75-100k,3,1-2/wk,98,Other,None,None,3,4,4,Depends,0,4,4,Yes,4,"Surprise free items,Streak cashback,Targeted discounts",None,"High fees,Sustainability concerns",4
27,Jaipur,25-50k,2,1-2/wk,143,Health meals,Gluten-free,None,3,4,4,Depends,0,3,4,Yes,4,"Carbon-offset badges,Surprise free items",None,Confusing UI,4
50,Jaipur,<25k,3,1-3/mo,169,Convenience,Other,None,5,5,4,Express Fresh,9,3,4,Yes,4,Surprise free items,Voice-first ordering,Late deliveries,4
38,Delhi,75-100k,3,1-3/mo,231,Convenience,None,None,5,3,5,Express Fresh,122,4,3,No,2,Surprise free items,Larger text/UI,"Confusing UI,High fees",2
21,Mumbai,25-50k,1,<1/mo,134,Variety,Calorie-controlled,None,1,4,5,Depends,0,3,4,Yes,2,"Targeted discounts,Carbon-offset badges",Courier empathy rating,High fees,3
27,Lucknow,<25k,6,1-3/mo,75,Time constraints,Vegetarian,Gluten,1,2,4,Depends,0,3,3,Yes,3,"Carbon-offset badges,Surprise free items",None,Confusing UI,1
21,Kolkata,25-50k,6,<1/mo,170,Other,Vegetarian,None,2,2,4,Express Fresh,22,3,5,Yes,3,Targeted discounts,None,Limited healthy options,3
24,Bengaluru,50-75k,3,3-5/wk,316,Variety,Calorie-controlled,None,3,4,3,Express Fresh,78,5,5,Yes,3,"Streak cashback,Carbon-offset badges,Targeted discounts",None,None,5
31,Lucknow,25-50k,1,1-3/mo,204,Health meals,Vegetarian,None,5,3,4,Express Fresh,65,4,2,Yes,2,Carbon-offset badges,None,Late deliveries,2
25,Pune,25-50k,2,1-2/wk,65,Time constraints,None,"Shellfish,Dairy",2,4,5,Eco-Saver,0,5,3,Yes,4,"Surprise free items,Streak cashback,Targeted discounts",None,"Sustainability concerns,High fees,Confusing UI",2
18,Lucknow,50-75k,3,3-5/wk,180,Variety,Vegetarian,None,5,5,3,Express Fresh,48,5,2,Yes,3,Targeted discounts,Color-blind palette,Confusing UI,3
45,Mumbai,>100k,3,3-5/wk,117,Variety,None,Gluten,5,4,4,Express Fresh,123,4,1,Yes,1,"Carbon-offset badges,Streak cashback,Surprise free items","Color-blind palette,Courier empathy rating",Cold food,3
35,Ahmedabad,50-75k,1,1-2/wk,60,Other,None,"Dairy,Soy",3,3,5,Express Fresh,66,4,4,Yes,4,Carbon-offset badges,Larger text/UI,"Confusing UI,Sustainability concerns,High fees",3
36,Bengaluru,25-50k,3,1-3/mo,305,Other,Gluten-free,None,4,4,4,Express Fresh,65,2,4,Yes,4,None of these,Courier empathy rating,"Confusing UI,Late deliveries",5
37,Pune,25-50k,4,1-3/mo,136,Convenience,Vegetarian,None,4,4,5,Eco-Saver,0,3,4,Yes,5,Surprise free items,"Color-blind palette,Voice-first ordering",Limited healthy options,5
23,Mumbai,<25k,5,1-3/mo,209,Other,None,None,3,4,4,Express Fresh,28,3,3,Yes,3,"Surprise free items,Streak cashback,Carbon-offset badges",Courier empathy rating,"Sustainability concerns,Cold food,Limited healthy options",2
37,Delhi,50-75k,4,1-3/mo,238,Convenience,None,None,5,4,4,Express Fresh,136,3,1,No,3,"Streak cashback,Surprise free items",Voice-first ordering,"High fees,Confusing UI,Sustainability concerns",3
18,Kolkata,50-75k,6,1-3/mo,271,Time constraints,Vegetarian,None,2,5,3,Depends,0,4,3,Yes,2,"Targeted discounts,Carbon-offset badges",Color-blind palette,"Cold food,Sustainability concerns",2
31,Jaipur,<25k,4,3-5/wk,125,Health meals,High-protein,"Dairy,Peanuts",2,3,3,Depends,0,3,3,Yes,3,Targeted discounts,None,None,2
30,Chennai,25-50k,1,1-3/mo,250,Time constraints,High-protein,Dairy,4,4,1,Express Fresh,41,3,2,Yes,2,Carbon-offset badges,None,"Confusing UI,Late deliveries",5
29,Ahmedabad,25-50k,1,<1/mo,228,Other,None,"Soy,Shellfish",4,2,5,Eco-Saver,0,2,2,No,3,Streak cashback,"Courier empathy rating,Larger text/UI",Limited healthy options,2
18,Jaipur,<25k,4,<1/mo,163,Health meals,High-protein,None,3,5,2,Depends,0,4,3,Yes,1,Streak cashback,None,"Cold food,Late deliveries,Confusing UI",3
35,Lucknow,<25k,3,<1/mo,91,Convenience,Gluten-free,None,5,3,2,Eco-Saver,0,4,2,Yes,3,"Carbon-offset badges,Targeted discounts",Larger text/UI,None,3
19,Mumbai,75-100k,1,3-5/wk,198,Variety,None,None,2,4,3,Express Fresh,182,2,5,Yes,3,None of these,None,"Sustainability concerns,Confusing UI",4
23,Hyderabad,50-75k,3,3-5/wk,224,Time constraints,None,Soy,4,3,2,Eco-Saver,0,5,5,Yes,3,"Targeted discounts,Surprise free items,Carbon-offset badges","Voice-first ordering,Larger text/UI",Cold food,4
18,Kolkata,25-50k,2,1-2/wk,157,Variety,None,Soy,2,3,4,Express Fresh,83,3,5,Yes,3,Surprise free items,None,"Limited healthy options,Confusing UI",3
35,Kolkata,50-75k,1,<1/mo,240,Time constraints,Gluten-free,None,3,5,4,Depends,0,1,3,Yes,4,"Carbon-offset badges,Surprise free items",Courier empathy rating,"Cold food,Limited healthy options,Confusing UI",3
35,Mumbai,25-50k,2,3-5/wk,79,Health meals,Calorie-controlled,None,3,4,4,Express Fresh,101,4,3,No,4,"Surprise free items,Targeted discounts","Color-blind palette,Courier empathy rating",None,4
26,Bengaluru,<25k,1,1-3/mo,168,Time constraints,Other,Soy,4,5,5,Express Fresh,0,4,1,Yes,3,Streak cashback,Color-blind palette,None,5
32,Kolkata,50-75k,3,1-2/wk,197,Convenience,None,None,3,4,3,Eco-Saver,0,3,4,Yes,4,"Carbon-offset badges,Targeted discounts",None,Sustainability concerns,3
32,Lucknow,25-50k,4,<1/mo,113,Convenience,Vegan,None,4,3,3,Depends,0,5,5,Yes,3,Surprise free items,Larger text/UI,High fees,4
18,Delhi,<25k,2,1-2/wk,97,Variety,High-protein,None,5,4,5,Eco-Saver,0,4,5,Yes,3,"Surprise free items,Streak cashback,Targeted discounts",Larger text/UI,"Cold food,Sustainability concerns,Limited healthy options",5
20,Lucknow,25-50k,1,>5/wk,193,Convenience,Vegan,None,2,2,4,Express Fresh,118,2,2,Yes,5,Streak cashback,Larger text/UI,"Late deliveries,Limited healthy options,Confusing UI",1
40,Jaipur,<25k,3,1-3/mo,108,Variety,Vegetarian,None,4,4,4,Express Fresh,83,5,4,Yes,4,"Surprise free items,Carbon-offset badges,Streak cashback",Courier empathy rating,None,5
19,Jaipur,<25k,2,1-3/mo,142,Health meals,Calorie-controlled,None,2,3,4,Eco-Saver,0,4,3,Yes,1,"Targeted discounts,Carbon-offset badges,Streak cashback",Courier empathy rating,"Confusing UI,Late deliveries",3
30,Bengaluru,25-50k,3,3-5/wk,206,Variety,Vegan,None,3,5,3,Depends,0,3,2,Yes,3,None of these,"Courier empathy rating,Larger text/UI",Late deliveries,4
18,Lucknow,25-50k,2,1-3/mo,192,Other,Vegetarian,None,4,3,4,Eco-Saver,0,4,3,Yes,3,"Surprise free items,Streak cashback,Carbon-offset badges","Courier empathy rating,Color-blind palette",Sustainability concerns,3
31,Kolkata,>100k,2,1-2/wk,133,Other,Vegan,Shellfish,3,1,3,Express Fresh,100,1,5,Yes,2,Streak cashback,None,None,4
31,Bengaluru,<25k,1,1-3/mo,223,Health meals,Vegetarian,None,4,5,3,Express Fresh,41,3,3,Yes,4,"Carbon-offset badges,Targeted discounts,Streak cashback",Courier empathy rating,Limited healthy options,5
22,Bengaluru,50-75k,3,3-5/wk,206,Other,Vegan,None,5,3,4,Depends,0,2,4,Yes,4,Targeted discounts,None,Limited healthy options,5
36,Chennai,50-75k,3,1-2/wk,262,Convenience,Vegetarian,None,3,3,3,Eco-Saver,0,5,4,Yes,3,Surprise free items,Courier empathy rating,"Sustainability concerns,Cold food",3
29,Delhi,25-50k,2,1-2/wk,136,Other,Other,None,3,3,4,Eco-Saver,0,5,4,Yes,3,"Carbon-offset badges,Targeted discounts,Surprise free items","Courier empathy rating,Color-blind palette",Confusing UI,2
28,Kolkata,75-100k,1,3-5/wk,316,Other,Calorie-controlled,"Peanuts,Shellfish",4,4,3,Eco-Saver,0,2,4,Yes,3,"Carbon-offset badges,Targeted discounts,Streak cashback",Larger text/UI,"Late deliveries,High fees",4
34,Mumbai,50-75k,3,1-3/mo,116,Variety,Vegetarian,"Soy,Gluten",3,2,4,Express Fresh,57,5,4,Yes,4,"Streak cashback,Carbon-offset badges",Color-blind palette,"High fees,Limited healthy options",2
41,Chennai,25-50k,3,3-5/wk,151,Time constraints,Calorie-controlled,"Gluten,Soy",4,3,3,Express Fresh,15,3,4,Yes,3,"Surprise free items,Targeted discounts","Courier empathy rating,Voice-first ordering","Sustainability concerns,Confusing UI,Late deliveries",3
27,Kolkata,<25k,9,1-2/wk,65,Other,None,None,4,5,3,Eco-Saver,0,4,2,Yes,4,None of these,Color-blind palette,None,5
35,Jaipur,75-100k,6,1-3/mo,248,Health meals,None,None,3,4,4,Eco-Saver,0,3,3,Yes,2,Streak cashback,Voice-first ordering,"Sustainability concerns,Late deliveries,Confusing UI",2
43,Chennai,<25k,4,<1/mo,76,Health meals,None,Dairy,5,3,2,Eco-Saver,0,4,4,Yes,4,"Streak cashback,Targeted discounts","Larger text/UI,Voice-first ordering",None,5
32,Pune,50-75k,1,3-5/wk,104,Variety,None,Dairy,4,2,5,Depends,0,3,3,Yes,5,Carbon-offset badges,None,"Sustainability concerns,Late deliveries,Cold food",2
42,Lucknow,25-50k,5,1-3/mo,114,Health meals,None,None,3,4,4,Express Fresh,54,3,2,Yes,4,Carbon-offset badges,Color-blind palette,None,3
26,Bengaluru,25-50k,2,1-2/wk,163,Variety,High-protein,Gluten,5,3,3,Express Fresh,36,3,3,Yes,3,Streak cashback,Voice-first ordering,Cold food,3
31,Mumbai,>100k,2,<1/mo,371,Time constraints,None,None,4,5,3,Eco-Saver,0,4,5,Yes,3,"Surprise free items,Targeted discounts,Carbon-offset badges","Color-blind palette,Courier empathy rating",Sustainability concerns,4
32,Hyderabad,<25k,4,1-2/wk,203,Time constraints,None,Soy,2,4,3,Express Fresh,22,3,5,Yes,3,None of these,Courier empathy rating,Sustainability concerns,4
20,Delhi,<25k,3,3-5/wk,154,Health meals,None,None,3,3,2,Express Fresh,56,3,4,No,4,None of these,Larger text/UI,"Late deliveries,Confusing UI",3
42,Bengaluru,25-50k,6,<1/mo,95,Convenience,Calorie-controlled,Dairy,4,1,5,Depends,0,2,3,Yes,3,"Targeted discounts,Surprise free items,Streak cashback",None,"Sustainability concerns,Confusing UI",3
32,Pune,75-100k,2,1-2/wk,252,Health meals,None,Peanuts,3,5,4,Express Fresh,90,3,4,No,3,Targeted discounts,"Color-blind palette,Courier empathy rating","Limited healthy options,High fees",4
31,Jaipur,25-50k,5,1-3/mo,353,Variety,None,None,3,3,3,Depends,0,2,4,Yes,3,None of these,None,"Late deliveries,Confusing UI,High fees",3
32,Hyderabad,25-50k,2,3-5/wk,187,Convenience,None,None,2,5,5,Depends,0,3,3,Yes,4,Targeted discounts,Courier empathy rating,Limited healthy options,2
